date,high,low,close,fluctuation,最近N1个交易日的最高点,最近N2个交易日的最低点,当天的仓位,资金指数
2017-08-18,10311,10212,10216,-80,10565.0,10212.0,0.0,0.0
2017-08-21,10278,10234,10253,-4,10565.0,10212.0,0.0,0.0
2017-08-22,10287,10255,10284,15,10565.0,10212.0,0.0,0.0
2017-08-23,10419,10355,10416,67,10565.0,10212.0,0.0,0.0
2017-08-24,10366,10340,10351,-8,10565.0,10212.0,0.0,0.0
2017-08-25,10494,10454,10476,29,10565.0,10212.0,0.0,0.0
2017-08-28,10511,10478,10498,11,10565.0,10212.0,0.0,0.0
2017-08-29,10513,10481,10504,15,10565.0,10212.0,0.0,0.0
2017-08-30,10495,10433,10494,30,10565.0,10212.0,0.0,0.0
2017-08-31,10561,10530,10559,29,10565.0,10212.0,0.0,0.0
2017-09-01,10574,10551,10574,24,10574.0,10212.0,0.0,0.0
2017-09-04,10598,10577,10588,14,10598.0,10212.0,1.0,0.0
2017-09-05,10567,10542,10565,13,10598.0,10212.0,1.0,0.0
2017-09-06,10585,10512,10524,-58,10598.0,10212.0,1.0,-0.0
2017-09-07,10542,10516,10541,21,10598.0,10212.0,1.0,-0.0
2017-09-08,10515,10485,10509,18,10598.0,10212.0,1.0,-0.0
2017-09-11,10569,10548,10556,5,10598.0,10212.0,1.0,-0.0
2017-09-12,10612,10559,10611,48,10612.0,10212.0,1.0,-0.0
2017-09-13,10605,10586,10597,8,10612.0,10212.0,1.0,-0.0
2017-09-14,10518,10491,10510,-11,10612.0,10212.0,1.0,0.0
2017-09-15,10541,10522,10537,8,10612.0,10234.0,1.0,0.0
2017-09-18,10589,10563,10589,23,10612.0,10255.0,1.0,0.0
2017-09-19,10654,10635,10652,17,10654.0,10340.0,1.0,0.0
2017-09-20,10580,10560,10579,0,10654.0,10340.0,1.0,0.0
2017-09-21,10520,10460,10502,-10,10654.0,10433.0,1.0,-0.0
2017-09-22,10578,10559,10564,-9,10654.0,10433.0,1.0,0.0
2017-09-25,10442,10411,10423,-9,10654.0,10411.0,1.0,-0.0
2017-09-26,10335,10275,10303,-29,10654.0,10275.0,0.0,-0.0
2017-09-27,10302,10260,10296,33,10654.0,10260.0,0.0,-0.0
2017-09-28,10350,10315,10349,26,10654.0,10260.0,0.0,-0.0
2017-09-29,10304,10275,10299,-6,10654.0,10260.0,0.0,-0.0
2017-09-30,10350,10318,10349,31,10654.0,10260.0,0.0,-0.0
2017-10-02,10458,10386,10449,70,10654.0,10260.0,0.0,-0.0
2017-10-03,10475,10434,10475,25,10654.0,10260.0,0.0,-0.0
2017-10-05,10464,10455,10464,1,10654.0,10260.0,0.0,-0.0
2017-10-06,10544,10507,10539,34,10654.0,10260.0,0.0,-0.0
